País,Población, "O+", "A+", "B+","AB+", "O-", "A-", "B-","AB-"
Alemania,81305856,35%,37%,9%,4%,6%,6%,2%,1%
Arabia Saudita,26534504,36%,24%,33%,2%,2%,0.50%,1%,0.23%
Australia,22015576,40%,31%,8%,2%,9%,7%,2%,1%
Austria,8219743,30%,37%,12%,5%,6%,7%,2%,1%
Bélgica,10438353,37%,38%,7%,2.50%,7%,7%,1%,0.50%
Brasil,199321413,36%,34%,8%,2.50%,9%,8%,2%,0.50%
México,120210121,56%,30%,4%,3.00%,5%,1%,1%,0.50%
España,47737941,35%,36%,8%,2.50%,9%,7%,2%,0.50%
Canadá,34300083,39%,36%,7.60%,2.50%,7%,6%,1.40%,0.50%
Colombia,47121089,61.30%,26.11%,2.28%,1.47%,5.13%,2.70%,0.70%,0.31%
Dinamarca,5543453,35%,37%,8%,4%,6%,7%,2%,1%
Estados Unidos,313847465,37.40%,35.70%,8.50%,3.40%,6.60%,6.30%,1.50%,0.60%
Estonia,1274709,30%,31%,20%,6%,4.50%,4.50%,3%,1%
Finlandia,5262930,28%,37%,15%,7%,5%,5%,2%,1%
Francia,65630692,36%,37%,9%,3%,6%,7%,1%,1%
Hong Kong,7153519,40%,26%,27%,7%,0.31%,0.19%,0.14%,0.05%
India,1205073612,36.50%,22.10%,30.90%,6.40%,2.00%,0.80%,1.10%,0.20%
Irlanda,4722028,47%,26%,9%,2%,8%,5%,2%,1%
Islandia,313183,47.60%,26.40%,9.30%,1.60%,8.40%,4.60%,1.70%,0.40%
Israel,7590758,32%,34%,17%,7%,3%,4%,2%,1%
Italia,61261254,40%,36%,17%,7%,7%,6%,1.50%,0.50%
Japón,127368088,29.90%,39.80%,19.90%,9.90%,0.15%,0.20%,0.10%,0.05%
Hungría,9982000,32%,44%,16%,8%,0.15%,0.20%,0.10%,0.05%
Noruega,5038137,34%,40.80%,6.80%,3.40%,6%,7.20%,1.20%,0.60%
Nueva Zelanda,4327944,38%,32%,9%,3%,9%,6%,2%,1%
Países Bajos,16730632,39.50%,35%,6.70%,2.50%,7.50%,7%,1.30%,0.50%
Perú,31237385,73.70%,18%,5.90%,1.38%,0.34%,0.27%,0%,0%
Polonia,38415284,31%,32%,15%,7%,6%,6%,2%,1%
Portugal,10781459,36.20%,39.80%,6.60%,2.90%,6.00%,6.60%,1.10%,0.50%
Sudáfrica,48810427,39%,32%,12%,3%,7%,5%,2%,1%
Suecia,9103788,32%,37%,10%,5%,6%,7%,2%,1%
Taiwán,23234936,43.90%,25.90%,23.90%,6.00%,0.10%,0.10%,0.01%,0.02%
Turquía,79749461,29.80%,37.80%,14.20%,7.20%,3.90%,4.70%,1.60%,0.80%
Población ponderada media,2261025244,36.44%,28.27%,20.59%,5.06%,4.33%,3.52%,1.39%,0.45%
